VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2007,2007,3.39,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2008,2008,3.33,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2009,2009,3.26,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2010,2010,2.93,B,Break
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2011,2011,2.88,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2012,2012,2.81,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2013,2013,2.76,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2014,2014,2.73,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,GBR,United Kingdom,2015,2015,2.61,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1985,1985,5.54,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1986,1986,5.37,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1987,1987,5.23,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1988,1988,5.1,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1989,1989,4.97,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1990,1990,4.86,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1991,1991,4.75,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1992,1992,4.59,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1993,1993,4.48,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1994,1994,4.29,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1995,1995,4.06,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1996,1996,3.94,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1997,1997,3.8,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1998,1998,3.67,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,1999,1999,3.56,,
